2 tone
acciaio
acid blue
acid green
almond
amethyst
anthracite
apricot
aqua
aquamarine
azure
beige
bi color
bicolor
black
black cherry
blanc
bleu marine
blue
blumarine
bone
bordeaux
brick red
bright blue
bronze
brown
burgundy
burnt
burnt olive
burnt orange
burnt red
burnt sienna
burnt umber
camel
capucine
carbon
caviar
cement
cerulean
champagne
charcoal
chocolate
citron
clear
cobalt
cobalt blue
cocoa
coffee
cognac
copper
coral
cream
crimson
dark blue
dark brown
dark citron
dark gray
dark green
dark grey
dark navy
dark purple
deep purple
dove grey
dusty rose
ebony
eggplant
emerald
espresso
espresso bean
flint
forest green
fuchsia
garnet
gold
gold tone
goldenrod
goldtone
grape
graphite
gray
green
grey
gunmetal
havana
heather
heather grey
hot pink
hunter green
indigo
ivory
jade
java
khaki
lagoon
lapis
lavendar
lavender
lead
light beige
light brown
light gray
light green
light grey
light heather
light pink
light purple
lilac
lime
lime green
magenta
mahogany
mango
marina
maroon
mauve
melange
merlot
midnight
military green
mint
mocha
multi
multi color
multi colors
navy
navy blue
noir
nude
oatmeal
obsidian
ocher
olive
olive green
onyx
orange
orchid
oxblood
pastel
pastel blue
pastel pink
peach
peacock
periwinkle
pewter
pink
pinot
platino
platinum
plum
purple
quicksand
red
rose
royal blue
ruby
rust
salmon
sapphire
savoy blue
sea blue
shadow
silver
silver tone
silvertone
sky
sky blue
slate
slate blue
smoke
spruce
steel grey
tan
taupe
teal
tobacco
toffee
topaz
tri tone
turqouise
turquoise
two tone
two toned
ultramarine
umber
violet
volt
walnut
white
yellow
