190 g
5 g
300 g
70 g
4 g
10 g
240 g
1 qt
1 1 2 qt
2 qt
2 1 2 qt
2 1 4 qt
3 qt
3 1 2 qt
4 qt
4 1 4 qt
5 qt
7 qt
25 qt
8 qt
6 qt
9 qt
9 1 2 qt
15 1 2 qt
size 4
size 2
size 3
size 6
size 8
size 7
size m
size 12
size 9
size 5
size newborn
size 10
snize 0
55 mm
57 mm
50 mm
56 mm
54 mm
58 mm
8 mm
52 mm
5 mm
100 mm
53 mm
59 mm
51 mm
60 mm
10 mm
6 mm
125 mm
49 mm
61 mm
62 mm
7 mm
105 mm
48 mm
63 mm
40 mm
38 mm
44 mm
47 mm
12 mm
36 mm
9 mm
4 mm
11 mm
41 mm
42 mm
64 mm
90 mm
70 mm
65 mm
45 mm
120 mm
46 mm
115 mm
32 mm
37 mm
34 mm
3 mm
16 mm
39 mm
30 mm
18 mm
14 mm
85 mm
20 inch
8 inch
25 inch
18 inch
21 inch
10 inch
200 ml
15 ml
75 ml
5 ml
250 ml
150 ml
125 ml
500 ml
50 ml
100 ml
10 ml
30 ml
60 ml
40 ml
120 ml
300 ml
12 ml
225 ml
175 ml
9 ml
3 ml
2 ml
20 ml
0.003 oz
01 oz
0.012 oz
0.016 oz
02 oz
03 oz
0.034 oz
05 oz
06 oz
071 oz
0.085 oz
09 oz
10 oz
0.105 oz
1 oz
2 oz
3 oz
3.0 oz
4 oz
5 oz
6 oz
7 oz
8 oz
9 oz
10 oz
11 oz
13 oz
14 oz
15 oz
16 oz
17 oz
18 oz
19 oz
21 oz
22 oz
23 oz
24 oz
25 oz
26 oz
27 oz
28 oz
29 oz
31 oz
32 oz
33 oz
34 oz
35 oz
36 oz
37 oz
38 oz
39 oz
40 oz
42 oz
45 oz
48 oz
49 oz
51 oz
52 oz
53 oz
63 oz
67 oz
69 oz
7 oz
71 oz
73 oz
75 oz
0.76 oz
1.16 oz
1.7 oz
1.76 oz
6.76 oz
9 oz
0.94 oz
1.94 oz
1 fl oz
0.5 fl oz
1.7 fl oz
2 fl oz
8 fl oz
4 fl oz
3.4 fl oz
6 fl oz
6.7 fl oz
5 fl oz
0.4 fl oz
8.5 fl oz
6.8 fl oz
0.46 fl oz
1.6 fl oz
6.76 fl oz
2.5 fl oz
1.69 fl oz
3.3 fl oz
4.2 oz
4.2 fl oz
8.4 fl oz
0.33 fl oz
0.2 fl oz
1.01 fl oz
3.38 fl oz
3 fl oz
16 fl oz
1.35 fl oz
0.3 fl oz
5.1 fl oz
10 fl oz
12 fl oz
0.25 fl oz
0.1 fl oz
5.07 fl oz
7 fl oz
0.24 fl oz
16.9 fl oz
0.27 fl oz
1.5 fl oz
0.23 fl oz
1.2 fl oz
0.6 fl oz
32 fl oz
10.1 fl oz
1.3 fl oz
8.45 fl oz
3.5 fl oz
1.18 fl oz
6.75 fl oz
13.5 fl oz
0.16 fl oz
0.45 fl oz
0.34 fl oz
0.08 fl oz
0.51 fl oz
0.22 fl oz
0.12 fl oz
4.5 fl oz
1.75 fl oz
0.54 fl oz
0.17 fl oz
7.4 fl oz
4.22 fl oz
0.016 fl oz
6.5 fl oz
2.7 fl oz
0.57 fl oz
0.05 fl oz
33 fl oz
13 fl oz
0.14 fl oz
0.13 fl oz
6.4 fl oz
9.25 fl oz
7.7 fl oz
10.15 fl oz
0.26 fl oz
6.73 fl oz
4.23 fl oz
13.4 fl oz
1.02 fl oz
0.67 fl oz
7.5 fl oz
4.4 fl oz
4.1 fl oz
2.3 fl oz
13.52 fl oz
1.25 fl oz
0.29 fl oz
0.15 fl oz
0.04 fl oz
4.06 fl oz
2.54 fl oz
17 fl oz
11.8 fl oz
1.45 fl oz
1.08 fl oz
0.68 fl oz
0.11 fl oz
9 fl oz
8.8 fl oz
8.1 fl oz
7.3 fl oz
7.2 fl oz
6.6 fl oz
4.3 fl oz
3.75 fl oz
3.2 fl oz
3.04 fl oz
18.5 fl oz
15 fl oz
13.43 fl oz
10.14 fl oz
1.67 fl oz
1.4 fl oz
1.05 fl oz
0.66 fl oz
6.3 fl oz
5.8 fl oz
4.9 fl oz
3.8 fl oz
2.4 fl oz
2.25 fl oz
2.1 fl oz
19 fl oz
1.86 fl oz
1.12 fl oz
0.98 fl oz
0.9 fl oz
0.18 fl oz
0.078 fl oz
8.3 fl oz
7.04 fl oz
6.67 fl oz
3.9 fl oz
2.6 fl oz
2.03 fl oz
13.61 fl oz
12.685 fl oz
1.8 fl oz
1.38 fl oz
0.8 fl oz
0.75 fl oz
0.7 fl oz
0.37 fl oz
0.35 fl oz
0.074 fl oz
0.034 fl oz
0.027 fl oz
9.5 fl oz
8.75 fl oz
8.2 fl oz
7.1 fl oz
6.66 fl oz
5.7 fl oz
5.5 fl oz
5.4 fl oz
5.06 fl oz
4.7 fl oz
4.6 fl oz
4.25 fl oz
33.81 fl oz
25.35 fl oz
21 fl oz
2.8 fl oz
2.65 fl oz
2.53 fl oz
2.2 fl oz
18 fl oz
13.1 fl oz
11.6 fl oz
11 fl oz
1.1 fl oz
0.91 fl oz
0.84 fl oz
0.47 fl oz
0.41 fl oz
0.32 fl oz
0.28 fl oz
0.21 fl oz
0.06 fl oz
0.02 fl oz
7.75 fl oz
6.77 fl oz
6.29 fl oz
6.2 fl oz
6.1 fl oz
6.08 fl oz
5.85 fl oz
5.75 fl oz
5.3 fl oz
5.25 fl oz
5.18 fl oz
5.16 fl oz
5.01 fl oz
4.93 fl oz
4.75 fl oz
4.74 fl oz
4.73 fl oz
30.2 fl oz
3.72 fl oz
3.71 fl oz
3.7 fl oz
3.58 fl oz
3.54 fl oz
3.46 fl oz
3.45 fl oz
3.25 fl oz
2.36 fl oz
2.14 fl oz
17.5 fl oz
16.91 fl oz
16.6 fl oz
16.5 fl oz
16.4 fl oz
15.3 fl oz
14.5 fl oz
13.6 fl oz
12.6 fl oz
12.3 fl oz
12.1 fl oz
11.2 fl oz
1.83 fl oz
1.76 fl oz
1.68 fl oz
1.57 fl oz
1.52 fl oz
1.47 fl oz
1.33 fl oz
1.15 fl oz
1.06 fl oz
0.94 fl oz
0.845 fl oz
0.83 fl oz
0.77 fl oz
0.64 fl oz
0.63 fl oz
0.61 fl oz
0.59 fl oz
0.49 fl oz
0.43 fl oz
0.39 fl oz
0.31 fl oz
0.19 fl oz
0.177 fl oz
0.127 fl oz
0.125 fl oz
0.105 fl oz
0.088 fl oz
0.085 fl oz
0.084 fl oz
0.07 fl oz
0.067 fl oz
0.037 fl oz
0.033 fl oz
0.014 fl oz
0.01 fl oz
