animal print
banded
beaded
brushed
cable knit
camo
camoflage
camouflage
check
checked
checkered
cheetah
coated
color block
colorblock
colorblocked
crocodile
crosshatch
crystal
detail
diamond
diamond patterned
distressed
embellished
embossed
embroidered
etched
floral
floral print
flower
geometric
glitter
glittered
gradient
graphic
herringbone
houndstooth
iridescent
jacquard
leopard
leopard print
lizard
logo
marble
marbled
matte
medium wash
mesh
metallic
paisley
pattern
patterned
pebble
pebbled
perforated
pinstripe
plaid
pleat
pleated
polarized
polka dot
print
printed
python
quilted
rib knit
ruffle
saffiano
sequin
sequined
shirred
skull patterned
slub knit
snakeskin
solid
stripe
striped
terrazzo
texture
textured
tie dye
tie dyed
tortoise
tortoise shell
tortoiseshell
two tone
two toned
waffle knit
wash
washed
zebra
zigzag
